term,variant,type
airflow,airflow,tech
alteryx,alteryx,vendor
api,api,tech
athena,athena,product
avro,avro,filetype
aws,aws,vendor
azure,azure,vendor
beam,beam,tech
bigquery,bigquery,product
c++,c++,language
cassandra,cassandra,tech
cloudera,cloudera,vendor
data studio,data studio,product
databricks,databricks,product
dataflow,dataflow,product
dataproc,dataproc,product
dbt,dbt,tech
docker,docker,devops
dynamodb,dynamodb,db
elasticsearch,elasticsearch,tech
emr,emr,product
fivetran,fivetran,vendor
flink,flink,tech
gcp,gcp,vendor
git,git,devops
great_expectations,great_expectations,tech
great_expectations,great expectations,tech
hadoop,hadoop,tech
hbase,hbase,tech
hive,hive,tech
hortonworks,hortonworks,vendor
informatica,informatica,vendor
java,java,language
jira,jira,vendor
json,json,filetype
kafka,kafka,tech
kubernetes,kubernetes,devops
linux,linux,language
mariadb,mariadb,db
matlab,matlab,language
mssql,ms sql,db
mssql,microsoft sql,db
mongodb,mongodb,db
mssql,mssql,db
mysql,mysql,db
neo4j,neo4j,tech
nosql,nosql,db
parquet,parquet,filetype
php,php,language
pig,pig,tech
postgresql,postgresql,db
postgresql,postgres,db
power bi,power bi,visualisation
power bi,powerbi,visualisation
presto,presto,tech
protobuf,protobuf,filetype
pyspark,pyspark,tech
python,python,language
qlik,qlik,visualisation
quicksight,quicksight,product
rabbitmq,rabbitmq,tech
rdbms,rdbms,db
redis,redis,tech
redshift,redshift,product
sas,sas,language
scala,scala,language
snowflake,snowflake,product
spark,spark,tech
sql,sql,language
sqlite,sqlite,db
sqoop,sqoop,tech
ssis,ssis,product
tableau,tableau,visualisation
talend,talend,vendor
tensorflow,tensorflow,tech
teradata,teradata,vendor
terraform,terraform,devops
t-sql,t-sql,language
unix,unix,language
vba,vba,language
t-sql,tsql,language
