scrape_time,job_title,publisher,time_posted,salary,job_type,desc
29-Apr-2022 T11:46,Data Engineer,ITCONNECTUS PTE. LTD.,16 hours ago,$5K–$13K a month,Full–time,"Immediate joiners

Requirements
• Technical Data Architect who is strong on Data Warehousing, Big Data, Data Analytics & Data Science for solutioning
• Strong Google Cloud Platform Data Components – BigQuery, BigTable, CloudSQL, Dataproc, Data Flow, Data Fusion, Etc
• Demonstrate extensive skills and success in the implementation of technology projects within a professional environment, with a particular focus on data engineering
• Experienced in delivering Medium to Big Enterprise Data Projects
• GCP Experience including and not limited to MPP systems, Database systems, ETL and ELT systems and Data Flow compute Good to have skills
• A high-level understanding of AI and ML technologies and desire to develop your skills in these areas of emerging technology.
• Should be able to advise the best of breed for the client solutions; Skills Needed
• The Data Engineer coaches the junior data engineering personnel position by bringing them up to speed and help them get better understanding of overall Data ecosystem.
• Prior experience developing, building and deploying on GCP
• Working on Solution deck, IP build, client meetings on requirement gathering"
29-Apr-2022 T11:46,Data Engineer,ITCONNECTUS PTE. LTD.,16 hours ago,$5K–$13K a month,Full–time,"Immediate joiners

Requirements
• Technical Data Architect who is strong on Data Warehousing, Big Data, Data Analytics & Data Science for solutioning
• Strong Google Cloud Platform Data Components – BigQuery, BigTable, CloudSQL, Dataproc, Data Flow, Data Fusion, Etc
• Demonstrate extensive skills and success in the implementation of technology projects within a professional environment, with a particular focus on data engineering
• Experienced in delivering Medium to Big Enterprise Data Projects
• GCP Experience including and not limited to MPP systems, Database systems, ETL and ELT systems and Data Flow compute Good to have skills
• A high-level understanding of AI and ML technologies and desire to develop your skills in these areas of emerging technology.
• Should be able to advise the best of breed for the client solutions; Skills Needed
• The Data Engineer coaches the junior data engineering personnel position by bringing them up to speed and help them get better understanding of overall Data ecosystem.
• Prior experience developing, building and deploying on GCP
• Working on Solution deck, IP build, client meetings on requirement gathering"
29-Apr-2022 T11:46,Data Engineer,Asm Technology Singapore Pte Ltd,16 hours ago,,Full–time,"ASM Data Engineer

As ASMPT is rapidly growing, we embark to become a data-driven organization and are expanding our data platform. We seek an individual with strong passion in Data Engineering who will be comfortable to work in both on-premise and Cloud environments to build the data platform to support structured & unstructured datasets. You will be able to use different tools or create customized tools to transform and load data, administrate databases such as SQL and Hadoop, as well as implementing machine learning models for AIoT (Artificial Intelligence of Things).

Your Responsibilities

Manage and support on-premise and Cloud-based data lake and warehouse systems

Design, build, support and optimize new and existing data structure and ETL processes

Build scalable and efficient data pipelines & services to help analytics teams to process the data

Design useful dashboards and visualisation tools to display data insights and prediction/forecasting results

Liaise with third party tool providers to understand and improve data workflow

Work closely with data scientists and data analysts to deliver analytical solutions with robust underlying data platforms

Work with business team and data analysts to understand business requirements and build efficient and scalable data solutions

Minimum Qualification

Bachelor Degree in Computer Science, Software Engineering, Information Technology or any related disciplines

At least 2 years' experience in data engineering, automation and integration is preferred

Strong programming and scripting skills in Python and other modern programming languages

Strong data management, schema design and SQL development skills

Deep understanding of databases and best engineering practices – which include logging, scaling up computation, continuous integration and continuous development (CI/CD)

Self-motivated and proactive, willing to learn new things

Good communication skills and strong team player

What our preferred candidates have

Passionate in dealing with data, learning new data technologies, and discovering innovative and interesting solutions

Understand and experienced with Cloud platform, eg. Microsoft Azure, AWS, GCP

Business intelligence and reporting tools, eg. Power BI, Tableau, Qlik, etc

Experienced in development using Big Data platform (Hadoop/Hive/Hbase/Spark, etc.)

REST/Web API development and management

Knowledge in Statistical software is an advantage

Experience In building machine learning models is a plus"
29-Apr-2022 T11:46,"Principal Data Engineer, Data Engineering",GovTech Singapore,2 hours ago,,Full–time,"The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.

Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering.

As a Principal Data Engineer in the Data Engineering team of GovTech’s Data Science and Artificial Intelligence Division, you are responsible for helping to shape the direction of the data engineering domain in GovTech; working with other domain experts, the delivery teams, vendors, and partners to influence technology roadmaps and the adoption of suitable data solutions across government. In addition, you will teach, mentor, and proactively grow fellow data engineers within the organization.

You will be leading multiple teams of data engineers to drive impact at scale, by building whole-of-government data infrastructure to power the insights needed for evidence-based decision-making and enhancing agencies’ service-delivery. You will architect, design and build next-generation central data infrastructure to galvanise digitalisation in the public sector. Taking a more integrated approach to lay the foundation infrastructure and driving pervasive adoption of advanced data technologies throughout the economy and society, you will architect solutions that enable public agencies and sectoral partners to better integrate, exploit and understand their data to improve operations and decision-making, and deliver high-quality digital services to citizens and businesses in Singapore.

Join us on this journey to make a difference for the nation and our future generations, if you are:
• Experienced leading data pipeline building and data wrangling and enjoys optimizing data systems and building them from the ground up as part of multiple cross-functional teams,
• Have strong project management and organizational skills, self-directed and comfortable supporting the data needs across multiple teams, systems and products,
• Excited by the prospect of optimizing or even re-designing central and agencies’ data architecture to support next generation of government products and data initiatives, and
• Recognized expert with proven technical leadership, experienced working in a agile team to build systems from architecture to deployment for cloud and on-prem infrastructure, and
• Have the desire to serve the public good through the use of technology.

What you will be working on:
• Take the driving seat and lead our data engineers in complex technical projects to:
• Expand and optimize our data and data pipeline architecture, as well as optimize data flow systems for cross functional teams in a secured and scalable manner.
• Assemble large, complex data sets that meet functional / non-functional business requirements, transforming data into formats that are easy to consume and analyse.
• Identify, design, and implement internal process improvements, e.g., automating manual processes, optimizing data delivery, re-designing infra for greater scalability.
• Build the infra required for optimal extraction, transformation, and loading of data from a variety of data sources using SQL and industry standard Infra-as-Code tools.
• Build analytics tools that utilize the data pipeline to provide actionable insights into key performance metrics and support our next gen of products and data initiatives.
• Work with stakeholders including the Executive, Product, Data and Design teams to support their data and data pipelining use cases, and ensure optimal and secured data delivery architecture is consistent across projects, products and platforms.
• Drive innovative initiatives that uplift data capability across the government sector:
• Develop a strategic sense of key organisations, software and hardware tools, methodologies, and best practices in the data engineering landscape.
• Be the bridge between engineering and product line management and translate market requirements into product definitions and architecture designs.
• Analyse and solve complex data engineering problems, and translate architecture designs into implementations that satisfy the market requirements.
• Educate the team on new technological advances and work alongside them in proof-of-concept research projects and subsequent agile product delivery.
• Provide expert perspective to help shape data-related strategy and initiatives, and be our technical ambassador by writing internal blogs or publishing white papers.

What we are looking for:
• Candidate with 8+ years of experience in a Lead Data Engineer role, who has attained a Bachelor’s degree in Computer Science or other relevant engineering degree.
• In-depth working knowledge across a variety of relational SQL and NoSQL databases, including efficient query authoring, performance optimisation and troubleshooting.
• Experience building and optimizing data, data pipelines, and architectures, with processes to support transformation, data structures, metadata, dependency and workload management.
• Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for further improvement.
• Working knowledge of message queuing, stream processing, and scalable data stores.
• A successful history of processing and extracting value from large datasets from different sources and systems, with strong analytics skills related to working with unstructured data.
• You should also have experience using the following software/tools:
• Big data and stream-processing tools: Hadoop, Spark, Beam, Flink, Kafka, etc.
• Data pipelining and workflow management tools: Luigi, Airflow, etc
• Cloud computing environments and services: AWS, GCP, Azure
• DevSecOps tools: Git, Kubernetes, Docker, Terraform etc
• Programming languages: Python, Java, C++, Scala, etc

We are an equal opportunity employer and value diversity at our company as we believe that diversity is meaningful to innovation. Our employee benefits are based on a total rewards approach, offering a holistic and market-competitive suite of perks. This includes generous leave benefits to meet your work-life needs. We trust that you will get the job done wherever you are, and whatever works best for you – so work from home or take a break to exercise if you need to*. We also believe it’s important for you to keep honing your craft in the constantly-evolving tech landscape, so we provide and support a plethora of in-house and external learning and development opportunities all year round
• Subject to the nature of your job role that might require you to be onsite during fixed hours”"
29-Apr-2022 T11:46,Data Engineer,Thakral One,16 hours ago,$8.5K–$10.5K a month,Full–time,"• Work with Banking team to understand existing SAS code logic written by techno-functional users
• Develop the SAS logic in Big Data environment, using spark, scala and pyspark utilizing client Hadoop ecosystem of the inhouse Data Lake
• Perform unit testing and system integration testing
• Work closely with Business Analysts team to review the test results and obtain sign off
• Deploy the new code in the client Production environment
• Prepare necessary design/operations documentation for future usage
• Perform peers Code quality review and be gatekeeper for quality checks
• 5-8 years of application development experience in Spark, Spark SQL, Scala is a must
• Strong understanding and hands on experience of Big Data technologies like CDH, Hadoop/HDFS, S3, Colibra, Claudera Workbench, etc
• Technical proficiency on data mining techniques and performance optimization
• Adequate knowledge of database systems (RDBMS, MariaDB, SQL, NOSQL)
• Experience on SAS will be beneficial but not mandatory
• Handling of reporting packages (Tableau, QlikView) is nice to have
• AWS experience is nice to have
• Degree in Computer Science or Engineering is a must
• Good problem diagnosis and creative problem-solving skills
• Passion to learn and master diverse new technologies in the open-source community
• Accuracy and attention to detail
• Team-working, Verbal and Written communication skills

Desired Skills and Experience
Tableau, PySpark, Scala, Big Data, Pipelines, Unit Testing, Hadoop, Application Development, MariaDB, Spark, Data Mining, SQL, Attention to Detail, Python, System Integration Testing, S3"
29-Apr-2022 T11:46,Data Engineer,POWER IT SERVICES,13 hours ago,,Full–time,"Requirements

· Advanced working SQL knowledge and experience working with RDBMS, Hadoop and NoSQL DB.

· Experience building and optimizing ‘big data’ data pipelines, Jobs and data sets.

· Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.

· Strong analytic skills related to working with structured and unstructured datasets.

· Build processes supporting data transformation, data structures, metadata, dependency and workload management.

· A successful history of manipulating, processing and extracting value from large datasets.

· Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.

· Experience supporting and working with cross-functional teams in a dynamic environment.

· We are looking for a candidate with 5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science Statistics, Informatics, Information Systems or another quantitative field.

They should also have experience using the following software/tools:

· Experience with:

o Big data tools: Hadoop, Spark, Kafka, etc.

o Relational SQL and NoSQL databases, including Postgres and Cassandra.

o Data pipeline and workflow management tools: Airflow, etc.

o AWS cloud services or GCP.

o Stream-processing systems: Spark-Streaming, Flink etc"
29-Apr-2022 T11:46,Staff Software Engineer (Data Engineer),COMMSCOPE COMMUNICATIONS SINGAPORE PTE. LTD.,16 hours ago,$8K–$13K a month,Full–time,"You will work with a dynamic and focused team to develop state-of-the-art big data applications in Analytics and Artificial Intelligence (AI). As our Staff Software Engineer, you will be implementing our core software components, and be involved in scalable design for cloud software architecture. This is an exciting opportunity to join our talented team and be involved in the next technology trend: Analytics & AI in Networking.

You Will Excite Us If You Have
• Strong working knowledge in SaaS application development and Agile software development methodologies.
• Good working knowledge using services from any public cloud offerings. Experience in Google Cloud Platform would be a plus.
• Good analytic skills working with both structured & unstructured datasets.
• Good experience building big data data pipelines, ETL architecture.
• Working knowledge of stream processing pipeline for big data would be a plus.
• At least 5 years of experience in Data Engineering role and have good knowledge / working experience in:

• Relational (e.g. PostgreSQL) & non relational databases such as Graph and time series.

• Streaming & data pipeline tools, e.g. Kafka, Spark Streaming.

• Big data processing technologies, e.g. Spark, Hadoop, Ignite, Parquet.

• Functional programming languages, e.g. Scala.

• Virtualization and container environment such as Docker and Kubernetes.

•Compiler and scripting languages, e.g. Golang, Ruby, Node.js"
29-Apr-2022 T11:46,Data Engineering Lead,Stemly Pte. Ltd.,16 hours ago,,Full–time,"We are looking for a Senior Data Engineer with a track record of building enterprise grade data platform for cloud products .

This is an exciting opportunity for a technologist to build an innovative SaaS product using state-of-the-art and modern cloud technology stack.

As a Data Engineering Lead, you will be working on all aspects of data, from platform and infra build out to pipeline engineering and writing tooling / services for augmenting and fronting the core platform.

The data platform interfaces with large systems to ingest data (batch, micro-batch) to create statistical / machine learning models in a distributed setting.

You will work closely with data scientists, product managers, legal, compliance and business stakeholders.

You will also evaluate new technologies / frameworks and contribute to various open source big data technologies. You are encouraged to think out of the box and have fun exploring the latest patterns and designs in the fields of software and data engineering.

Your responsibilities
• Architecting and implementing a robust data platform for Stemly's products. Design and develop extremely efficient, reliable and observable data pipelines using technologies such as Airflow, Kubernetes, ElasticSearch, Kafka / KubeMQ, Postgres, ClickHouse etc.
• Design and deliver the next-gen data lifecycle management suite of tools / frameworks , including ingestion and consumption on the top of the data lake to support real-time, API-based and serverless use-cases, along with batch (mini / micro)
• Build and expose metadata catalogue for the Data Lake for easy exploration, profiling as well as lineage requirements
• Work on the development of the data platform iteratively by building quick POCs and converting ideas into real products
• Make data discoverable and easy to use for Data Scientists and Analysts. Enable Data Science teams to test and productize various ML models
• Develop code and mentor junior developers to ensure deliverables are on time, within budget, and with good code quality.

Support your colleagues by reviewing code and designs
• Coordinate Continuous Integration activities, testing automation frameworks, and other related items in addition to contributing core product code
• Present technical solutions, capabilities, considerations, and features in business terms. Effectively communicate status, issues, and risks in a precise and timely manner

About you
• 8+ years of professional experience in software development in Python and Pandas
• Extensive experience with object-oriented design, coding and testing patterns, including experience with engineering software platforms and data infrastructures
• Must have sound understanding for Big Data components & administration fundamentals
• Hands-on in building a complete data platform using various open source technologies. Must have the knowledge to build metadata, lineage, observability and discoverability for data platform
• Experienced in DevOps best practices like CI / CD, containerization, blue-green deployments, secrets management etc. in the Data ecosystem
• Expert in the principles of distributed computing and data modelling
• Expert in building optimized SQL queries
• Conversant with the latest developments in the areas of Machine Learning models and efficiently supporting the data scientists is a plus
• Experience with Airflow, ClickHouse, Postgres, Kubernetes, GraphDB is a big plus
• Familiarity with Google Cloud Platform (e.g. GCS, Cloud Composer, BigQuery) is a plus
• Outstanding communication and interpersonal skills

About us

We are scientists and engineers with a strong passion for cutting-edge technology and decision science. Our mission is to enable enterprises to reduce time to decision with state-of-the-art forecasting and optimization.

Our algorithms are based on automatic machine learning techniques and allow for the discovery of optimal forecasting models.

We unlock sizable business and financial impact in terms of lower lost demand, decrease in inventory, lower working capital and financing costs.

How to apply

You may already know if you're a fit, but perhaps you're worried about some of the requirements We're looking for smart and passionate Engineers;

if you're the right candidate, we're flexible"
29-Apr-2022 T11:46,Data Engineer,Eastspring Investments (singapore) Limited,16 hours ago,,Full–time,"At Eastspring Investments, we understand that success comes from the talent and commitment of our people. We strive to build a business that you can shape, an inclusive workplace where everyone's ideas are valued and a culture where we can thrive together. Our people stay connected and tuned in to what's happening around us, keeping us ahead of the curve. While focused on the long-term, we look to the future to bring growth, development and benefit to everyone whose lives we touch.

Key Accountabilities

Main responsibilities:

Design and implement our Data and AI central data platform as well as related tools/systems for advanced business analytics and enterprise data governance

Manage data modeling design, writing, and optimizing ETL jobs

Participate in building and enhancing enterprise cloud data warehouse

Deliver and manage in-house and cloud-native data solutions to meet business requirements across firm-wide business units

Assist in creating and monitoring analytics dashboards, for different business functions

Ensure quality, integrity and accuracy of datasets through tracked, secured and auditable controls

Work with stakeholders to assist with data-related technical issues and support their data needs.

Follow and enforce best practices in software development and data engineering

Requirements:

Excellent coding skills with Python and SQL, and solid understanding of object-oriented analysis and design

Working knowledge of common algorithms and data structures, with strong analytical and problem-solving skills

Hands-on experience with Linux and shell scripting

Working experience with containerization (Docker/K8S) and task orchestration tools (Airflow/Luigi, etc.)

Experience with cloud service and tools (AWS/Azure/GCP), as well as cloud data warehouse platforms.

Experience with modern DevOps practices including version control, TDD, CI/CD, etc., for both code and configuration changes.

Basic understanding and experience with ML/AI concepts (e.g. deep learning, deep reinforcement learning, deep bayesian learning), workflows, and toolsets (Jupyter Notebook, etc.), and libraries (Numpy, Pandas, Scikit Learn, PyTorch, etc.) preferably in both cloud-native and desktop deployments.

Experience with traditional RDBMS based systems, including Data Lake, Data Warehouses and Marts, and more modern NoSQL and cloud-native big-data technology stacks such as document-oriented databases, Hadoop, columnar data files (e.g., Parquet), etc.

Familiar with REST APIs, service-oriented architectures (SOA) / microservices, virtualization, and serverless deployment architectures.

Demonstrated ability to understand, work with and deliver robust solutions in more than one programming language, framework, technology stack, runtime environment, etc..

QUALIFICATIONS / EXPERIENCE:

Degree level or higher in Computer Science or another quantitative field

1-5 year(s) technical experience showing increasing sophistication of solutions implemented, and ability to deliver

Fluency in both written and spoken English"
29-Apr-2022 T11:46,Data Engineer - APAC,Tamr,16 hours ago,,Full–time,"Tamr DataOps Engineers are highly technical data scientists and engineers who understand all aspects of the business. We know how to pitch the product to anyone from software architects to business executives. Often we’re working on the most challenging problems in the enterprise and we have to dig deep to understand the business value and deliver technical solutions. As the company’s outward-facing, technical resource, the work of the whole group is varied. We build prototypes, direct product development, work with sales on accounts, implement pilot solutions, and deploy full production rollouts. DataOps Engineers are expected to be highly efficient and resourceful when leading these projects.

We are a US Based company but rapidly expanding in APAC, and we are looking for a DOE
who thrives working with our existing local partners and customers, as well selling, onboarding and working hand in hand with the next wave of Tamr prospects.

We are looking for someone who loves to write code, and has a genuine interest in being
customer-facing. We are building and selling a human-in-the-loop machine learning platform for the enterprise to help companies automatically unify and categorize their data to drive new analytic and operational insight. We are looking for engineers interested in creating front line code to solve real customer problems, ranging from back-end data processing and machine learning, to front end presentation and dashboarding.

Challenges that make this job interesting:
• The problem we’re solving is hard - enterprise data is messy and there is a lot of it. It’s our job to derive value from this data in a flexible and scalable way
• Every customer is different - while there are similar use cases that we see repeatedly, every account presents new challenges and we need to be able to adapt quickly to each new situation
This job might be a good fit for you if:
• You have strong data science and/or software engineering experience
• You are excited about working for a startup and being a key contributor in a new office
• You enjoy working with customers and have excellent interpersonal skills
• You enjoy educating prospects on the the data landscape, and the Tamr solution by means of tailored product demonstrations - target audiences include end users, IT staff, executive sponsors, industry analysts
• Defining and scoping the deliverables of proof of concept projects with clients, and then leading these exercises
• Enabling partners and accelerating the local market by multiplying your impact through others
• You have machine learning knowledge/experience
• You understand the value of data and how it can truly transform an organisation
• You’ve dealt with lots of data - messy, siloed and disparate data sources - and understand how to develop pipelines to clean and get this data ready for analysis
• You’re a great story teller - you can take large amounts of an organisation’s data and develop visualisations and presentations using that data to highlight insights and specific actions the organisation can take to improve. This is to both technical and business audiences.
Qualifications:
• BS, MS or PhD degree in Computer Science / Software Engineering, Physics, Mathematics or similarly quantitative/technical field
• Polyglot programmer, with experience using technologies such as Python, Java, R, SQL
• Willingness and ability to travel to client locations on occasion
Other Preferred Qualifications / Nice to Have:
• Deep understanding of data integration and transformation patterns such as messaging, ETL.
• Hands-on experience with enterprise and corporate systems from a data architecture and development perspective
• Hands-on experience with traditional data warehouse technologies and BI or visualization tools
• Machine learning knowledge/experience
• Front end software development expertise. JS in particular
• Experience building enterprise applications, including integration with COTS systems
• Experience with any of the following technologies: Hadoop, Spark, ElasticSearch, Java, Cloud Partners
• DevOps and/or cloud solutions deployment experience a plus
• Advanced quantitative technical degree (MS or PhD) preferred

Additional Information

This position is available for candidates in the APAC region and will be remote.

Tamr provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws"
